274,고추튀김,14.6,12.6,7.6,202
275,닭튀김,48.8,49.7,65.2,903
276,등심돈가스,38.489,37.545,32.992,623.828
277,모래집튀김,29.1,26.6,28.1,468.37
278,미꾸라지튀김,28.855,25.391,10.887,387.487
279,생선까스,46.56,41.096,24.334,653.441
280,안심돈가스,34.253,42.402,33.281,651.755
281,양념치킨,42.3,26.8,35.5,552
282,쥐포튀김,42.502,16.493,9.617,356.912
283,치즈돈가스,41.764,46.693,42.02,755.369
284,치킨까스,44.021,33.918,27.913,592.998
285,대구포,2.335,0.404,31.966,140.842
286,북어포,0.317,0.389,15.423,66.463
287,매작과,19.833,3.946,2.254,123.861
288,산자,24.652,0.926,0.693,109.711
289,송화다식,22.192,1.345,2.489,110.827
290,약과,25.467,1.425,1.259,119.731
291,한과,22.269,3.85,0.842,127.091
292,가래떡,43.7,0.5,3.9,195
293,깨송편,42.8,3.2,4.7,219
294,꿀떡,49.5,1.7,3.7,228
295,모듬찰떡,42.3,2.4,6.8,218
296,백설기,50.4,1.5,3.7,229
297,쑥절편,34.9,2.4,7.7,192
298,약식,45.2,2.5,4.2,219
299,인절미,50.1,2.2,5.6,242
300,증편,44.2,1.2,3.2,200
301,감자,30,0.3,4.3,140
302,고구마,64.9,0.5,3.3,277
303,찐옥수수,68.4,4.8,13.4,370
304,참깨경단,38.6,6.7,6.3,239
305,팥시루떡,48.1,1.8,3.8,224
306,팥찹쌀떡,62.9,2.5,5.1,294
307,가자미구이,1.3,10,37.4,245
308,간장양념닭다리구이,10.6,46.9,68.9,740
309,갈치구이,1.2,11,43.1,275
310,고등어구이,0.4,40,47.7,551
311,고등어석쇠구이,7.6,51.4,46.7,679
312,굴비구이,0.1,19.9,28,291
313,꽁치구이,4.3,43.4,49.4,604
314,닭고기대파꼬치구이,17.6,25,30.3,416
315,닭구이,26.5,45.5,89.1,872
316,닭발구이,21.3,20.7,39.9,431
317,갈비구이,10.4,55.6,84.7,881
318,돼지고기산적,2.6,14.6,49.4,339
319,돼지불고기,8.1,33.1,29.7,449
320,등심스테이크,0.3,16.1,60.4,388
321,런천미트구이,5.2,39,28.1,484
322,뱅어포구이,17.6,10.6,24.1,261
323,버섯구이,3.8,1.1,4.1,41
324,삼겹살고추장구이,25.3,65.7,28.4,805
325,삼겹살구이,0.7,83.4,45.1,933
326,삼치구이,2.9,19.1,42.8,355
327,새송이버섯구이,9.3,1.8,3.4,66
328,새우구이,5.1,8,42.1,260
329,소갈비구이,4.8,43.7,77.7,722
330,소곱창구이,7.1,17.6,22.3,275
331,소불고기,8.5,19.3,32.8,339
332,안심스테이크,0.2,9.7,69.6,366
333,오리고기구이,9.8,39.4,48.1,586
334,오리불고기,22.6,22.6,16.9,361
335,장어고추장구이,6.2,17.2,19.8,258
336,조기구이,36.4,19.5,34.8,460
337,조미김,1.4,1.5,1,23
338,쥐포구이,37.4,0.2,21.7,238
